"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"                        Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,"37797000000","46886000000","44217000000","46427000000","48734000000","49402000000","40115000000","49762000000","57587000000","59585000000","62962000000","70695000000","72448000000","70398000000","71838000000","74965000000"
"                        Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,"15434000000","15714000000","15557000000","18383000000","18920000000","16874000000","16323000000","18454000000","20079000000","20627000000","17961000000","16574000000","18335000000","17784000000","19322000000","27050000000"
"                        Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,"32292000000","35193000000","35350000000","38703000000","38846000000","36881000000","28743000000","36016000000","41543000000","38964000000","38023000000","40958000000","41011000000","39241000000","42505000000","45799000000"
"                        Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,"78391000000","86173000000","98036000000","108886000000","108185000000","110201000000","89943000000","105219000000","116256000000","118987000000","125454000000","137957000000","151840000000","158015000000","167815000000","176364000000"
"        Imports of services ($)","41492000000","45503000000","51750000000","54973000000","67748000000","72863000000","80147000000","90788000000","98525000000","102480000000","117660000000","118459000000","119566000000","123780000000","133057000000","141397000000","152554000000","165932000000","180677000000","192893000000","216115000000","213465000000","224379000000","242219000000","283083000000","304448000000","341165000000","372575000000","409052000000","386801000000","409313000000","435761000000","452013000000","461087000000","480761000000","491966000000","509838000000","542471000000","559211000000"
"            By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Maintenance and repair services n.i.e. ($)",,,,,,,,,,,,,,,,,,,,"1278000000","2569000000","1999000000","2217000000","2246000000","2395000000","3015000000","4583000000","5209000000","5742000000","5938000000","6909000000","8236000000","8015000000","7420000000","7520000000","9013000000","8731000000","8337000000","8721000000"
"                Transport ($)",,,,,,,,,,,,,,,,,,,,"49620000000","57606000000","53840000000","51491000000","57863000000","69158000000","75643000000","77962000000","79326000000","83988000000","64133000000","74628000000","81377000000","84985000000","90634000000","94188000000","97006000000","96939000000","101744000000","108305000000"
"                Travel for all purposes, including education ($)",,,,,,,,,,,,,,,,,,,,"59592000000","65787000000","60730000000","59942000000","61884000000","74024000000","79988000000","84206000000","89235000000","92545000000","81421000000","86623000000","89700000000","100338000000","98120000000","105668000000","114548000000","123569000000","135024000000","144156000000"
"                Insurance services ($)",,,,,,,,,,,,,,,,,,,,"9389000000","11284000000","16706000000","21927000000","25233000000","29089000000","28710000000","39382000000","47517000000","58913000000","63801000000","61478000000","55654000000","55513000000","53420000000","51011000000","47420000000","49900000000","50665000000","38228000000"
"                Financial services ($)",,,,,,,,,,,,,,,,,,,,"8280000000","10936000000","10157000000","8963000000","8948000000","11156000000","12126000000","14733000000","19197000000","17218000000","14415000000","15502000000","17368000000","16703000000","21545000000","24883000000","25769000000","25752000000","28931000000","30790000000"
"                Charges for the use of intellectual property n.i.e. ($)",,,,,,,,,,,,,,,,,,,,"13302000000","16606000000","16661000000","19493000000","19259000000","23691000000","25577000000","25038000000","26479000000","29623000000","31297000000","32551000000","36087000000","38661000000","38860000000","41983000000","40608000000","46577000000","51284000000","53751000000"
"                Telecommunications, computer, and information services ($)",,,,,,,,,,,,,,,,,,,,"13332000000","12397000000","12421000000","11721000000","13063000000","14210000000","15975000000","19776000000","22384000000","24655000000","25784000000","29015000000","32756000000","32779000000","35034000000","36502000000","36704000000","37391000000","40054000000","40417000000"
"                Other business services ($)",,,,,,,,,,,,,,,,,,,,"23887000000","24414000000","25629000000","29274000000","30103000000","33065000000","35960000000","48130000000","54968000000","67488000000","68553000000","70646000000","83289000000","87157000000","90714000000","94771000000","99368000000","99476000000","104385000000","111865000000"
"                Government goods and services n.i.e. ($)",,,,,,,,,,,,,,,,,,,,"14212000000","14516000000","15322000000","19353000000","23619000000","26296000000","27454000000","27353000000","28260000000","28880000000","31460000000","31960000000","31293000000","27861000000","25341000000","24236000000","21531000000","21503000000","22047000000","22978000000"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,"19971000000","21213000000","22582000000","23921000000","25694000000","25973000000","23691000000","27351000000","30518000000","31138000000","30779000000","30121000000","29289000000","30588000000","33025000000","35104000000"
"                Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,"109249000000","123791000000","134228000000","153197000000","168728000000","184044000000","167096000000","172108000000","185316000000","189335000000","194678000000","203395000000","207255000000","214693000000","232351000000","230570000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,"2130000000","2547000000","2431000000","2778000000","3228000000","3726000000","3888000000","4219000000","5016000000","4717000000","5149000000","5780000000","5872000000","5729000000","5415000000","5153000000"
"                        France ($)",,,,,,,,,,,,,,,,,,,,,,,,"10315000000","11690000000","12957000000","15257000000","16396000000","15148000000","15548000000","15820000000","17571000000","16543000000","14995000000","16430000000","16251000000","16562000000","17531000000","18131000000"
"                        Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,"20653000000","22768000000","23818000000","26911000000","29881000000","33372000000","28668000000","28397000000","30028000000","31290000000","32491000000","32456000000","31700000000","33775000000","35364000000","32959000000"
"                        Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,"6664000000","8648000000","9426000000","10067000000","10211000000","9913000000","8690000000","9552000000","10494000000","10838000000","10353000000","10581000000","10732000000","11360000000","12407000000","13382000000"
"                        Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,"463000000","632000000","544000000","746000000","924000000","958000000","1552000000","1211000000","1381000000","1525000000","1646000000","1645000000","1817000000","2077000000","1892000000","1754000000"
"                        Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,"6609000000","7174000000","7767000000","7709000000","7519000000","8708000000","7159000000","8061000000","8495000000","8299000000","9302000000","9628000000","10208000000","10559000000","11161000000","12386000000"
"                        UK ($)",,,,,,,,,,,,,,,,,,,,,,,,"29655000000","32534000000","33682000000","38614000000","41870000000","45259000000","38510000000","42307000000","46997000000","46888000000","49038000000","52414000000","53560000000","52339000000","56927000000","60415000000"
"                        Other EU ($)",,,,,,,,,,,,,,,,,,,,,,,,"5103000000","7963000000","9495000000","9511000000","9507000000","12996000000","10704000000","10484000000","11013000000","11282000000","10975000000","11628000000","12098000000","12084000000","12789000000","13966000000"
"                        Other euro area ($)",,,,,,,,,,,,,,,,,,,,,,,,"11447000000","13154000000","14622000000","19308000000","24993000000","25602000000","23614000000","23564000000","25136000000","25673000000","27236000000","29213000000","32008000000","34676000000","38482000000","37870000000"
"                        Europe excluding EU ($)",,,,,,,,,,,,,,,,,,,,,,,,"16210000000","16681000000","19486000000","22295000000","24199000000","28363000000","28762000000","28493000000","29184000000","32279000000","33493000000","33620000000","33010000000","35530000000","40384000000","34554000000"
"                Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,"45941000000","55541000000","54687000000","61409000000","65585000000","79213000000","84602000000","87596000000","88913000000","91285000000","91950000000","96216000000","100724000000","101739000000","103751000000","106298000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,"653000000","681000000","785000000","905000000","1026000000","1259000000","1186000000","1432000000","1714000000","1898000000","1746000000","1670000000","2228000000","2507000000","2911000000","2747000000"
